time,chamber_press,chamber_press_adc_raw,chamber_temp,thrust
12446,-0.0928419679403305,4774,27.0,-0.001476104594618082
12458,-0.1107998788356781,4769,27.0,0.0010219185373932123
12469,-0.05333948880434036,4785,27.0,-0.0006812790492922068
12480,-0.07847686856985092,4778,27.0,-0.0034063951733708385
12492,-0.11798139661550522,4767,27.0,-0.002270930066853762
12503,-0.05333948880434036,4785,27.0,0.003519941669404507
12515,-0.07847686856985092,4778,27.0,0.0024980232051014903
12526,-0.11438961327075958,4768,27.0,-0.003065755685269833
12538,-0.06411382555961609,4782,27.0,0.0026115697011351584
12549,-0.0712953507900238,4780,27.0,-0.005109592906236649
12561,-0.10720603168010712,4770,27.0,-0.011127557780742647
12572,-0.06052306666970253,4783,27.0,-0.0038605811575055126
12583,-0.03897644579410553,4789,27.0,-0.006131511370539666
12595,-0.10002657026052475,4772,27.0,0.004541860133707524
12606,-0.06052306666970253,4783,27.0,0.0017031975866854193
12618,-0.04256823658943176,4788,27.0,-0.002157383570820093
12629,-0.10361630469560623,4771,27.0,-0.005450232394337655
12641,-0.07488713413476944,4779,27.0,-0.006245057866573335
12652,-0.04256823658943176,4788,27.0,-0.0038605811575055126
12664,-0.08925017714500427,4775,27.0,-0.006585697354674339
12675,-0.10720603168010712,4770,27.0,-0.0020438370747864246
12686,-0.04974975809454918,4786,27.0,-0.001135465033426881
12698,-0.08925017714500427,4775,27.0,-0.003065755685269833
12709,-0.11798139661550522,4767,27.0,-0.007834708811044692
12721,-0.06411382555961609,4782,27.0,0.00238447656288743
12732,-0.08206865936517715,4777,27.0,0.00238447656288743
12744,-0.1287536770105362,4764,27.0,0.0031793021813035015
12755,-0.0569312758743763,4784,27.0,-0.001135465033426881
12767,-0.08566044270992279,4776,27.0,0.0032928486773371696
12778,-0.1107998788356781,4769,27.0,0.0006812790492922068
12789,-0.06411382555961609,4782,27.0,-0.005450232394337655
12801,-0.06770561635494232,4781,27.0,-0.008288894795179368
12812,-0.11438961327075958,4768,27.0,-0.00806180180311203
12824,-0.0569312758743763,4784,27.0,-0.004655406629741192
12835,-0.03897644579410553,4789,27.0,-0.002952209189236164
12847,-0.10002657026052475,4772,27.0,-0.00238447656288743
12858,-0.06770561635494232,4781,27.0,-0.005563778890371324
12869,-0.04256823658943176,4788,27.0,-0.005450232394337655
12881,-0.08566044270992279,4776,27.0,-0.006585697354674339
12892,-0.08206865936517715,4777,27.0,-0.006017964874505997
12904,-0.046157967299222946,4787,27.0,-0.005677325386404992
12915,-0.08206865936517715,4777,27.0,-0.0024980232051014903
12927,-0.10361630469560623,4771,27.0,-0.002270930066853762
12938,-0.05333948880434036,4785,27.0,-0.0013625580985844137
12950,-0.08206865936517715,4777,27.0,0.00238447656288743
12961,-0.1287536770105362,4764,27.0,-0.0009083720413595438
12972,-0.0569312758743763,4784,27.0,-0.005677325386404992
12984,-0.07847686856985092,4778,27.0,0.002952209189236164
12995,-0.11438961327075958,4768,27.0,0.010786917707920077
13007,-0.04974975809454918,4786,27.0,0.0019302905787527563
13018,-0.07488713413476944,4779,27.0,-0.007153429834842682
13030,-0.11438961327075958,4768,27.0,-0.006812790346741677
13041,-0.06770561635494232,4781,27.0,-0.0031793021813035015
